affordability_band,age_band,party_affiliation,voters
2: below average,55-64,FFP,50
2: below average,55-64,GRE,257
2: below average,55-64,IND,14190
2: below average,55-64,LPF,1336
2: below average,55-64,NPA,139492
2: below average,55-64,PSL,22
2: below average,55-64,REP,304990
2: below average,65-74,AMF,398
2: below average,65-74,ASP,147
2: below average,65-74,BPP,105
2: below average,65-74,CPF,450
2: below average,65-74,CPP,229
2: below average,65-74,CSV,1509
2: below average,65-74,DEM,195221
2: below average,65-74,ECO,139
2: below average,65-74,FFP,55
2: below average,65-74,GRE,239
2: below average,65-74,IND,15596
2: below average,65-74,LPF,787
2: below average,65-74,NPA,129769
2: below average,65-74,PSL,11
2: below average,65-74,REP,330448
2: below average,75+,AMF,153
2: below average,75+,ASP,48
2: below average,75+,BPP,70
2: below average,75+,CPF,217
2: below average,75+,CPP,112
2: below average,75+,CSV,804
2: below average,75+,DEM,204802
2: below average,75+,ECO,64
2: below average,75+,FFP,30
2: below average,75+,GRE,106
2: below average,75+,IND,11330
2: below average,75+,LPF,410
2: below average,75+,NPA,115068
2: below average,75+,REP,325211
3: average,18-24,AMF,1323
3: average,18-24,ASP,597
3: average,18-24,BPP,984
3: average,18-24,CPF,1383
3: average,18-24,CPP,442
3: average,18-24,CSV,2302
3: average,18-24,DEM,80705
3: average,18-24,ECO,294
3: average,18-24,FFP,137
3: average,18-24,GRE,635
3: average,18-24,IND,11193
3: average,18-24,LPF,754
3: average,18-24,NPA,100570
3: average,18-24,PSL,200
3: average,18-24,REP,105388
3: average,25-34,AMF,1361
3: average,25-34,ASP,576
3: average,25-34,BPP,1237
3: average,25-34,CPF,1282
3: average,25-34,CPP,540
3: average,25-34,CSV,2689
3: average,25-34,DEM,171807
3: average,25-34,ECO,294
3: average,25-34,FFP,142
3: average,25-34,GRE,903
3: average,25-34,IND,18878
3: average,25-34,JEF,12
3: average,25-34,LPF,3394
3: average,25-34,NPA,196907
3: average,25-34,PSL,347
3: average,25-34,REP,205026
3: average,35-44,AMF,1100
3: average,35-44,ASP,474
3: average,35-44,BPP,1028
3: average,35-44,CPF,1195
3: average,35-44,CPP,510
3: average,35-44,CSV,2405
3: average,35-44,DEM,162463
3: average,35-44,ECO,203
3: average,35-44,FFP,98
3: average,35-44,GRE,718
3: average,35-44,IND,14637
3: average,35-44,LPF,3736
3: average,35-44,NPA,190121
3: average,35-44,PSL,137
3: average,35-44,REP,222992
3: average,45-54,AMF,854
3: average,45-54,ASP,336
3: average,45-54,BPP,759
3: average,45-54,CPF,919
3: average,45-54,CPP,457
3: average,45-54,CSV,1997
3: average,45-54,DEM,141425
3: average,45-54,ECO,175
3: average,45-54,FFP,73
3: average,45-54,GRE,405
3: average,45-54,IND,12571
3: average,45-54,LPF,2151
3: average,45-54,NPA,156590
3: average,45-54,PSL,36
3: average,45-54,REP,219526
3: average,55-64,AMF,708
3: average,55-64,ASP,267
3: average,55-64,BPP,446
3: average,55-64,CPF,785
3: average,55-64,CPP,376
3: average,55-64,CSV,1918
3: average,55-64,DEM,161847
3: average,55-64,ECO,131
3: average,55-64,FFP,39
3: average,55-64,GRE,299
3: average,55-64,IND,13287
3: average,55-64,LPF,1199
3: average,55-64,NPA,141557
3: average,55-64,PSL,28
3: average,55-64,REP,300970
3: average,65-74,AMF,414
3: average,65-74,ASP,142
3: average,65-74,BPP,190
3: average,65-74,CPF,474
3: average,65-74,CPP,228
3: average,65-74,CSV,1442
3: average,65-74,DEM,185765
3: average,65-74,ECO,137
3: average,65-74,FFP,43
3: average,65-74,GRE,205
3: average,65-74,IND,13267
3: average,65-74,LPF,743
3: average,65-74,NPA,117223
3: average,65-74,PSL,13
3: average,65-74,REP,299143
3: average,75+,AMF,148
3: average,75+,ASP,63
3: average,75+,BPP,100
3: average,75+,CPF,185
3: average,75+,CPP,98
3: average,75+,CSV,652
3: average,75+,DEM,179913
3: average,75+,ECO,49
3: average,75+,FFP,17
3: average,75+,GRE,88
3: average,75+,IND,8492
3: average,75+,LPF,327
3: average,75+,NPA,93687
3: average,75+,REP,263283
4: above average,18-24,AMF,838
4: above average,18-24,ASP,407
4: above average,18-24,BPP,982
4: above average,18-24,CPF,875
4: above average,18-24,CPP,243
4: above average,18-24,CSV,1245
4: above average,18-24,DEM,56708
4: above average,18-24,ECO,157
4: above average,18-24,FFP,78
4: above average,18-24,GRE,365
4: above average,18-24,IND,6149
4: above average,18-24,LPF,366
4: above average,18-24,NPA,63936
