county_code,party_affiliation,voters,new_in_april,new_in_may,missing_after_march,missing_after_april,zip_changed_mar_apr,zip_changed_apr_may,county_changed_mar_apr,county_changed_apr_may,party_changed_mar_apr,party_changed_apr_may,status_changed_mar_apr,status_changed_apr_may
OSC,AMF,542,21,23,1,0,21,29,9,16,40,50,13,18
OSC,ASP,296,7,4,0,1,3,6,1,4,2,7,2,10
OSC,BPP,2148,30,33,2,0,54,61,25,30,50,64,28,93
OSC,CPF,505,2,2,1,0,4,4,2,2,0,2,1,16
OSC,CPP,271,3,1,0,0,7,4,5,4,10,8,2,8
OSC,CSV,1113,8,5,1,2,14,20,5,16,15,8,4,34
OSC,DEM,107165,408,365,140,147,851,1015,432,702,307,277,550,1545
OSC,ECO,135,4,3,0,0,0,3,0,1,1,3,1,4
OSC,FFP,34,0,3,0,0,1,1,0,1,1,2,1,3
OSC,GRE,221,3,0,0,0,6,2,3,2,3,4,1,6
OSC,IND,4849,31,28,4,10,65,84,42,63,62,51,19,103
OSC,JEF,1,0,0,0,0,0,0,0,0,0,0,0,0
OSC,LPF,564,3,4,1,0,8,8,4,7,4,3,3,9
OSC,MGT,1,0,0,0,0,0,0,0,0,0,0,0,0
OSC,NPA,105355,400,340,104,104,822,911,427,604,259,244,618,1518
OSC,PSL,61,1,0,0,0,1,2,1,2,1,1,2,0
OSC,REP,80518,397,330,88,143,791,840,400,529,337,240,337,1339
OSC,WPF,1,0,0,0,0,0,1,0,1,0,1,0,0
PAL,AMF,1065,52,51,1,3,39,36,14,10,97,79,25,22
PAL,ASP,432,5,7,0,0,11,6,1,2,10,11,2,7
PAL,BPP,529,14,9,0,2,10,5,3,1,14,11,4,12
PAL,CPF,1215,4,7,2,0,7,6,1,3,8,5,4,16
PAL,CPP,545,17,15,0,0,14,6,2,2,30,23,5,13
PAL,CSV,2363,19,15,2,0,30,10,4,3,26,11,11,47
PAL,DEM,392776,1036,933,830,574,2475,1494,468,417,718,566,1454,3798
PAL,ECO,296,1,2,0,0,6,2,1,0,6,5,6,7
PAL,FFP,91,2,1,1,1,2,1,1,0,3,0,1,3
PAL,GRE,646,2,4,0,1,5,4,0,0,8,4,5,10
PAL,IND,29627,149,165,23,19,325,182,69,53,435,338,83,352
PAL,JEF,8,0,1,0,0,0,2,0,1,0,2,0,0
PAL,LPF,2111,8,5,2,1,21,18,7,6,16,21,3,20
PAL,MGT,3,0,0,0,0,0,0,0,0,0,0,0,0
PAL,NPA,316000,1060,1036,372,334,1954,1157,409,354,1046,751,1199,2760
PAL,PSL,128,1,1,0,0,5,1,2,0,7,2,1,2
PAL,REP,344811,1347,1303,627,426,2860,1627,632,549,1067,784,617,3039
PAL,WPF,1,0,0,0,0,0,0,0,0,0,1,0,0
PAS,AMF,826,32,30,2,1,45,37,27,19,80,64,22,26
PAS,ASP,342,4,4,0,0,4,5,3,3,6,6,3,6
PAS,BPP,773,18,16,0,1,13,10,8,8,19,7,8,15
PAS,CPF,822,3,3,1,0,7,2,7,2,3,1,1,11
PAS,CPP,388,10,11,0,1,7,8,2,6,12,11,3,7
PAS,CSV,1988,11,12,1,3,11,13,9,10,7,7,1,21
PAS,DEM,120946,350,339,274,170,868,665,651,500,299,216,195,802
PAS,ECO,155,1,2,0,0,3,3,1,2,5,3,1,1
PAS,FFP,70,0,1,0,0,1,0,0,0,2,4,0,2
PAS,GRE,409,1,1,0,1,3,2,3,1,2,3,3,10
PAS,IND,12222,59,46,26,9,130,116,85,75,161,137,26,93
PAS,JEF,5,1,0,0,0,1,0,1,0,1,0,1,0
PAS,LPF,1505,2,2,4,1,20,14,16,8,12,8,3,15
PAS,MGT,1,0,0,0,0,0,0,0,0,0,0,0,0
PAS,NPA,132836,436,371,214,121,855,684,654,476,363,297,209,827
PAS,PSL,93,1,0,0,0,1,2,0,2,1,1,0,2
PAS,REP,202880,645,609,438,260,1376,1067,970,707,434,408,203,1376
PIN,AMF,807,31,42,0,1,41,16,14,5,80,50,25,14
PIN,ASP,305,4,2,0,0,10,3,2,3,5,5,1,5
PIN,BPP,404,3,5,0,1,14,6,5,4,6,10,5,8
PIN,CPF,882,3,2,2,1,21,7,3,6,5,4,4,21
PIN,CPP,400,11,12,0,0,15,6,2,1,12,14,5,14
PIN,CSV,1693,9,6,4,0,49,6,2,1,14,15,8,22
PIN,DEM,233287,552,536,507,841,4024,937,487,403,541,400,1414,2175
PIN,ECO,208,2,4,0,1,8,2,0,2,4,3,3,1
PIN,FFP,102,1,2,0,0,5,1,1,0,5,3,1,2
PIN,GRE,736,4,5,2,1,21,7,2,2,4,5,7,21
PIN,IND,17453,82,69,18,54,461,128,80,62,328,244,115,209
PIN,JEF,2,0,0,0,0,0,0,0,0,0,0,0,0
PIN,LPF,2644,11,9,2,6,44,12,3,7,25,16,18,41
PIN,MGT,3,0,0,0,0,0,0,0,0,0,1,0,0
PIN,NPA,205720,557,570,271,532,3273,801,354,366,581,467,1373,1845
PIN,PSL,170,0,1,0,1,3,2,1,2,2,2,0,5
PIN,REP,272272,794,784,566,780,4501,1272,576,569,620,512,775,2199
POL,AMF,736,42,54,2,0,22,22,9,8,45,32,12,8
POL,ASP,342,6,7,0,0,1,10,1,0,0,2,0,0
POL,BPP,1971,41,34,3,3,36,62,18,20,39,35,19,14
POL,CPF,882,5,4,1,1,2,21,2,2,3,3,2,1
POL,CPP,372,9,8,0,0,6,8,2,3,13,6,1,1
POL,CSV,1693,14,4,0,3,10,42,7,9,14,12,2,1
POL,DEM,164045,560,483,230,196,1066,2174,654,414,354,268,319,208
POL,ECO,164,5,1,1,0,1,4,1,0,1,1,0,1
POL,FFP,98,2,3,0,0,0,2,0,0,5,0,2,0
POL,GRE,394,5,3,0,0,4,10,2,1,2,3,4,2
POL,IND,12239,73,52,13,8,121,245,71,47,153,109,36,24
POL,JEF,2,0,0,0,0,0,0,0,0,0,0,0,0
POL,LPF,1555,6,2,1,1,8,23,4,2,14,6,2,4
POL,MGT,1,0,0,0,0,1,0,1,0,1,0,1,0
POL,NPA,154662,633,516,152,114,954,2224,562,384,482,375,320,212
POL,PSL,109,1,0,0,0,4,1,3,0,2,0,1,0
POL,REP,215464,658,626,320,292,1360,2970,697,439,465,412,254,182
POL,WPF,1,0,0,0,0,0,0,0,0,0,1,0,0
PUT,AMF,91,7,3,0,0,2,2,2,2,7,6,2,2
PUT,ASP,37,0,1,0,0,1,0,1,0,0,0,0,0
PUT,BPP,31,1,0,0,0,1,0,1,0,2,0,1,0
PUT,CPF,109,1,1,0,0,0,0,0,0,0,0,0,0
PUT,CPP,41,3,2,0,0,3,1,3,0,2,2,2,0
PUT,CSV,210,0,0,0,0,0,2,0,1,1,3,1,1
PUT,DEM,14240,29,27,45,21,54,30,37,21,30,20,93,40
PUT,ECO,20,0,0,0,0,0,0,0,0,0,0,0,0
PUT,FFP,3,1,0,0,0,0,0,0,0,0,0,0,0
PUT,GRE,50,1,1,0,0,0,0,0,0,0,0,0,0
PUT,IND,884,5,2,3,1,9,10,8,9,9,13,5,5
PUT,JEF,2,0,0,0,0,0,0,0,0,0,0,0,0
PUT,LPF,133,3,0,1,0,0,0,0,0,1,0,2,0
PUT,NPA,10613,36,33,19,17,50,31,39,28,32,13,91,14
PUT,PSL,7,1,0,0,0,0,1,0,1,0,0,0,0
PUT,REP,29185,81,59,63,44,161,117,101,87,96,63,118,63
SAN,AMF,228,17,13,0,1,6,3,0,1,19,9,9,3
SAN,ASP,89,2,2,0,0,1,1,0,1,2,2,2,2
SAN,BPP,57,2,1,0,0,0,1,0,1,0,1,0,1
SAN,CPF,294,1,3,0,1,2,1,1,1,1,0,7,0
SAN,CPP,91,3,5,0,0,2,0,0,0,3,0,0,0
SAN,CSV,609,4,2,1,0,2,1,2,0,1,1,12,0
SAN,DEM,25823,98,88,49,42,95,77,63,52,47,55,305,23
SAN,ECO,55,1,0,0,0,0,1,0,1,0,1,0,1
SAN,FFP,12,0,1,0,0,0,0,0,0,0,0,0,0
SAN,GRE,116,1,0,0,0,0,0,0,0,1,0,4,0
SAN,IND,3721,21,18,5,6,12,21,6,13,35,29,50,3
SAN,JEF,1,0,0,0,0,0,0,0,0,0,0,0,0
SAN,LPF,909,9,3,1,2,1,2,0,1,3,4,12,1
SAN,MGT,1,0,0,0,0,0,0,0,0,0,0,0,0
SAN,NPA,35407,138,149,60,37,102,90,60,58,93,56,412,35
SAN,PSL,22,0,0,0,0,0,0,0,0,0,0,0,0
