extract_month,county_code,party_affiliation,voter_status,voter_count
2026-03,BRO,CPF,ACT,829
2026-03,BRO,CPF,INA,88
2026-03,BRO,CPP,ACT,412
2026-03,BRO,CPP,INA,5
2026-03,BRO,CSV,ACT,1722
2026-03,BRO,CSV,INA,40
2026-03,BRO,DEM,ACT,464355
2026-03,BRO,DEM,INA,125182
2026-03,BRO,ECO,ACT,235
2026-03,BRO,ECO,INA,38
2026-03,BRO,FFP,ACT,111
2026-03,BRO,FFP,INA,3
2026-03,BRO,GRE,ACT,639
2026-03,BRO,GRE,INA,188
2026-03,BRO,IND,ACT,22503
2026-03,BRO,IND,INA,3382
2026-03,BRO,JEF,ACT,5
2026-03,BRO,LPF,ACT,1531
2026-03,BRO,LPF,INA,459
2026-03,BRO,MGT,ACT,5
2026-03,BRO,NPA,ACT,312609
2026-03,BRO,NPA,INA,105134
2026-03,BRO,PSL,ACT,165
2026-03,BRO,PSL,INA,40
2026-03,BRO,REP,ACT,267934
2026-03,BRO,REP,INA,43420
2026-03,BRO,RFM,ACT,27
2026-03,BRO,RFM,INA,2
2026-03,CAL,AMF,ACT,5
2026-03,CAL,CPF,ACT,6
2026-03,CAL,CPF,INA,1
2026-03,CAL,CPP,ACT,2
2026-03,CAL,CSV,ACT,17
2026-03,CAL,CSV,INA,1
2026-03,CAL,DEM,ACT,1913
2026-03,CAL,DEM,INA,452
2026-03,CAL,GRE,ACT,3
2026-03,CAL,GRE,INA,1
2026-03,CAL,IND,ACT,52
2026-03,CAL,IND,INA,8
2026-03,CAL,LPF,ACT,13
2026-03,CAL,NPA,ACT,760
2026-03,CAL,NPA,INA,239
2026-03,CAL,REP,ACT,4769
2026-03,CAL,REP,INA,320
2026-03,CHA,AMF,ACT,228
2026-03,CHA,AMF,INA,4
2026-03,CHA,ASP,ACT,78
2026-03,CHA,ASP,INA,3
2026-03,CHA,BPP,ACT,90
2026-03,CHA,BPP,INA,5
2026-03,CHA,CPF,ACT,248
2026-03,CHA,CPF,INA,31
2026-03,CHA,CPP,ACT,122
2026-03,CHA,CPP,INA,6
2026-03,CHA,CSV,ACT,808
2026-03,CHA,CSV,INA,30
2026-03,CHA,DEM,ACT,29234
2026-03,CHA,DEM,INA,5994
2026-03,CHA,ECO,ACT,61
2026-03,CHA,ECO,INA,8
2026-03,CHA,FFP,ACT,30
2026-03,CHA,GRE,ACT,99
2026-03,CHA,GRE,INA,22
2026-03,CHA,IND,ACT,4456
2026-03,CHA,IND,INA,564
2026-03,CHA,LPF,ACT,354
2026-03,CHA,LPF,INA,96
2026-03,CHA,NPA,ACT,33428
2026-03,CHA,NPA,INA,9555
2026-03,CHA,PSL,ACT,13
2026-03,CHA,PSL,INA,4
2026-03,CHA,REP,ACT,81820
2026-03,CHA,REP,INA,9138
2026-03,CHA,RFM,ACT,2
2026-03,CIT,AMF,ACT,168
2026-03,CIT,AMF,INA,5
2026-03,CIT,ASP,ACT,58
2026-03,CIT,ASP,INA,2
2026-03,CIT,BPP,ACT,94
2026-03,CIT,CPF,ACT,241
2026-03,CIT,CPF,INA,14
2026-03,CIT,CPP,ACT,86
2026-03,CIT,CPP,INA,4
2026-03,CIT,CSV,ACT,552
2026-03,CIT,CSV,INA,13
2026-03,CIT,DEM,ACT,20623
2026-03,CIT,DEM,INA,4125
2026-03,CIT,ECO,ACT,45
2026-03,CIT,ECO,INA,6
2026-03,CIT,FFP,ACT,15
2026-03,CIT,GRE,ACT,68
2026-03,CIT,GRE,INA,10
2026-03,CIT,IND,ACT,3206
2026-03,CIT,IND,INA,385
2026-03,CIT,JEF,ACT,1
2026-03,CIT,LPF,ACT,292
2026-03,CIT,LPF,INA,74
2026-03,CIT,NPA,ACT,22503
2026-03,CIT,NPA,INA,6936
2026-03,CIT,PSL,ACT,12
2026-03,CIT,PSL,INA,4
2026-03,CIT,REP,ACT,69649
2026-03,CIT,REP,INA,7270
2026-03,CIT,RFM,ACT,3
2026-03,CLA,AMF,ACT,217
2026-03,CLA,AMF,INA,3
2026-03,CLA,ASP,ACT,101
2026-03,CLA,ASP,INA,5
2026-03,CLA,BPP,ACT,153
2026-03,CLA,BPP,INA,3
2026-03,CLA,CPF,ACT,311
2026-03,CLA,CPF,INA,25
2026-03,CLA,CPP,ACT,137
2026-03,CLA,CPP,INA,7
2026-03,CLA,CSV,ACT,722
2026-03,CLA,CSV,INA,22
2026-03,CLA,DEM,ACT,30174
2026-03,CLA,DEM,INA,7591
2026-03,CLA,ECO,ACT,61
2026-03,CLA,ECO,INA,6
2026-03,CLA,FFP,ACT,28
2026-03,CLA,FFP,INA,1
2026-03,CLA,GRE,ACT,88
2026-03,CLA,GRE,INA,25
2026-03,CLA,IND,ACT,3317
2026-03,CLA,IND,INA,510
2026-03,CLA,JEF,ACT,1
2026-03,CLA,LPF,ACT,610
2026-03,CLA,LPF,INA,134
2026-03,CLA,NPA,ACT,29390
2026-03,CLA,NPA,INA,11177
2026-03,CLA,PSL,ACT,18
2026-03,CLA,PSL,INA,5
2026-03,CLA,REP,ACT,87124
2026-03,CLA,REP,INA,11109
2026-03,CLA,RFM,ACT,3
2026-03,CLL,AMF,ACT,203
2026-03,CLL,AMF,INA,13
2026-03,CLL,ASP,ACT,147
2026-03,CLL,ASP,INA,8
2026-03,CLL,BPP,ACT,92
2026-03,CLL,BPP,INA,7
2026-03,CLL,CPF,ACT,366
2026-03,CLL,CPF,INA,34
2026-03,CLL,CPP,ACT,125
2026-03,CLL,CPP,INA,6
2026-03,CLL,CSV,ACT,852
2026-03,CLL,CSV,INA,27
2026-03,CLL,DEM,ACT,50025
2026-03,CLL,DEM,INA,7044
2026-03,CLL,ECO,ACT,94
2026-03,CLL,ECO,INA,12
2026-03,CLL,FFP,ACT,21
2026-03,CLL,FFP,INA,1
2026-03,CLL,GRE,ACT,135
2026-03,CLL,GRE,INA,29
2026-03,CLL,IND,ACT,5490
2026-03,CLL,IND,INA,483
2026-03,CLL,JEF,ACT,7
2026-03,CLL,LPF,ACT,519
2026-03,CLL,LPF,INA,82
2026-03,CLL,MGT,ACT,2
2026-03,CLL,NPA,ACT,58300
2026-03,CLL,NPA,INA,9822
2026-03,CLL,PSL,ACT,32
2026-03,CLL,PSL,INA,2
2026-03,CLL,REP,ACT,144497
2026-03,CLL,REP,INA,9592
2026-03,CLL,RFM,ACT,6
2026-03,CLM,AMF,ACT,60
2026-03,CLM,AMF,INA,2
2026-03,CLM,ASP,ACT,19
2026-03,CLM,ASP,INA,1
2026-03,CLM,BPP,ACT,23
2026-03,CLM,CPF,ACT,105
2026-03,CLM,CPF,INA,8
2026-03,CLM,CPP,ACT,41
2026-03,CLM,CPP,INA,2
2026-03,CLM,CSV,ACT,177
2026-03,CLM,CSV,INA,7
2026-03,CLM,DEM,ACT,9514
2026-03,CLM,DEM,INA,2224
2026-03,CLM,ECO,ACT,9
2026-03,CLM,FFP,ACT,3
2026-03,CLM,GRE,ACT,25
2026-03,CLM,GRE,INA,7
2026-03,CLM,IND,ACT,680
2026-03,CLM,IND,INA,97
2026-03,CLM,JEF,ACT,1
2026-03,CLM,LPF,ACT,146
2026-03,CLM,LPF,INA,26
2026-03,CLM,NPA,ACT,6221
2026-03,CLM,NPA,INA,2241
2026-03,CLM,PSL,ACT,3
2026-03,CLM,PSL,INA,1
2026-03,CLM,REP,ACT,24033
2026-03,CLM,REP,INA,2471
2026-03,CLM,RFM,ACT,2
2026-03,DAD,AMF,ACT,1136
2026-03,DAD,AMF,INA,28
2026-03,DAD,ASP,ACT,515
2026-03,DAD,ASP,INA,25
2026-03,DAD,BPP,ACT,540
2026-03,DAD,BPP,INA,39
2026-03,DAD,CPF,ACT,886
2026-03,DAD,CPF,INA,171
2026-03,DAD,CPP,ACT,424
2026-03,DAD,CPP,INA,34
2026-03,DAD,CSV,ACT,1569
2026-03,DAD,CSV,INA,131
2026-03,DAD,DEM,ACT,407186
2026-03,DAD,DEM,INA,142936
2026-03,DAD,ECO,ACT,280
2026-03,DAD,ECO,INA,73
2026-03,DAD,FFP,ACT,93
2026-03,DAD,FFP,INA,5
2026-03,DAD,GRE,ACT,679
2026-03,DAD,GRE,INA,267
2026-03,DAD,IND,ACT,25059
2026-03,DAD,IND,INA,4497
2026-03,DAD,JEF,ACT,6
2026-03,DAD,LPF,ACT,1497
2026-03,DAD,LPF,INA,575
2026-03,DAD,MGT,ACT,3
2026-03,DAD,NPA,ACT,389530
2026-03,DAD,NPA,INA,141501
2026-03,DAD,PSL,ACT,148
2026-03,DAD,PSL,INA,36
2026-03,DAD,REP,ACT,450485
2026-03,DAD,REP,INA,68803
2026-03,DAD,RFM,ACT,20
2026-03,DAD,RFM,INA,2
2026-03,DES,AMF,ACT,29
2026-03,DES,ASP,ACT,10
2026-03,DES,ASP,INA,1
2026-03,DES,BPP,ACT,11
2026-03,DES,CPF,ACT,45
2026-03,DES,CPF,INA,6
2026-03,DES,CPP,ACT,7
2026-03,DES,CSV,ACT,91
2026-03,DES,CSV,INA,1
2026-03,DES,DEM,ACT,4064
2026-03,DES,DEM,INA,1515
2026-03,DES,ECO,ACT,4
2026-03,DES,FFP,ACT,3
2026-03,DES,GRE,ACT,6
2026-03,DES,GRE,INA,2
2026-03,DES,IND,ACT,269
