county_code,party_affiliation,age_band,voter_count
BRO,ECO,25-34,55
BRO,ECO,35-44,41
BRO,ECO,45-54,38
BRO,ECO,55-64,38
BRO,ECO,65-74,46
BRO,ECO,75+,9
BRO,FFP,18-24,31
BRO,FFP,25-34,26
BRO,FFP,35-44,27
BRO,FFP,45-54,22
BRO,FFP,55-64,13
BRO,FFP,65-74,7
BRO,FFP,75+,4
BRO,FFP,unknown,1
BRO,GRE,18-24,110
BRO,GRE,25-34,232
BRO,GRE,35-44,199
BRO,GRE,45-54,107
BRO,GRE,55-64,82
BRO,GRE,65-74,68
BRO,GRE,75+,22
BRO,GRE,unknown,8
BRO,IND,18-24,2640
BRO,IND,25-34,4782
BRO,IND,35-44,4452
BRO,IND,45-54,4260
BRO,IND,55-64,4391
BRO,IND,65-74,3428
BRO,IND,75+,2060
BRO,IND,unknown,158
BRO,JEF,25-34,1
BRO,JEF,45-54,1
BRO,JEF,55-64,2
BRO,JEF,65-74,1
BRO,JEF,75+,1
BRO,LPF,18-24,120
BRO,LPF,25-34,483
BRO,LPF,35-44,590
BRO,LPF,45-54,381
BRO,LPF,55-64,236
BRO,LPF,65-74,98
BRO,LPF,75+,64
BRO,LPF,unknown,5
BRO,MGT,18-24,2
BRO,MGT,25-34,1
BRO,MGT,45-54,1
BRO,MGT,65-74,1
BRO,NPA,18-24,37544
BRO,NPA,25-34,73884
BRO,NPA,35-44,82486
BRO,NPA,45-54,72506
BRO,NPA,55-64,67609
BRO,NPA,65-74,47949
BRO,NPA,75+,35047
BRO,NPA,unknown,2015
BRO,PSL,18-24,55
BRO,PSL,25-34,78
BRO,PSL,35-44,34
BRO,PSL,45-54,21
BRO,PSL,55-64,8
BRO,PSL,65-74,6
BRO,PSL,75+,4
BRO,PSL,unknown,3
BRO,REP,18-24,16505
BRO,REP,25-34,38092
BRO,REP,35-44,45953
BRO,REP,45-54,45597
BRO,REP,55-64,61248
BRO,REP,65-74,53246
BRO,REP,75+,49707
BRO,REP,unknown,2221
CAL,AMF,18-24,1
CAL,AMF,25-34,3
CAL,AMF,55-64,1
CAL,CPP,18-24,1
CAL,CPP,35-44,1
CAL,CPP,55-64,1
CAL,CSV,18-24,5
