election_year,party,method_bucket,counted_votes
2021,CPF,mail,107
2021,CPF,polls,66
2021,CPP,mail,52
2021,CPP,polls,15
2021,CSV,early,24
2021,CSV,mail,215
2021,CSV,polls,99
2021,DEM,early,27223
2021,DEM,mail,226661
2021,DEM,polls,78650
2021,ECO,mail,37
2021,ECO,polls,18
2021,FFP,mail,39
2021,FFP,polls,10
2021,GRE,early,21
2021,GRE,mail,177
2021,GRE,polls,67
2021,IND,early,627
2021,IND,mail,7407
2021,IND,polls,2626
2021,LPF,early,85
2021,LPF,mail,694
2021,LPF,polls,396
2021,NPA,early,7415
2021,NPA,mail,78467
2021,NPA,polls,29237
2021,PSL,mail,45
2021,PSL,polls,19
2021,REP,early,29733
2021,REP,mail,164181
2021,REP,polls,109053
2022,AMF,early,678
2022,AMF,mail,829
2022,AMF,polls,1371
2022,ASP,early,242
2022,ASP,mail,343
2022,ASP,polls,467
2022,BPP,early,260
2022,BPP,mail,455
2022,BPP,polls,584
2022,CPF,early,842
2022,CPF,mail,867
2022,CPF,polls,1779
2022,CPP,early,308
2022,CPP,mail,475
2022,CPP,polls,576
2022,CSV,early,1905
2022,CSV,mail,2232
2022,CSV,polls,3537
2022,DEM,early,876541
2022,DEM,mail,1923074
2022,DEM,polls,1128703
2022,ECO,early,170
2022,ECO,mail,332
2022,ECO,polls,352
2022,FFP,early,139
2022,FFP,mail,299
2022,FFP,polls,227
2022,GRE,early,724
2022,GRE,mail,1530
2022,GRE,polls,1471
2022,IND,early,40518
2022,IND,mail,74728
2022,IND,polls,61314
2022,JEF,mail,15
2022,JEF,polls,19
2022,LPF,early,4539
2022,LPF,mail,5712
2022,LPF,polls,10053
2022,NPA,early,430786
2022,NPA,mail,763050
2022,NPA,polls,658949
2022,PSL,early,188
2022,PSL,mail,323
2022,PSL,polls,470
2022,REP,early,1492382
2022,REP,mail,1603233
2022,REP,polls,2184241
2023,AMF,early,27
2023,AMF,mail,30
2023,AMF,polls,66
2023,ASP,mail,15
2023,ASP,polls,42
2023,BPP,mail,19
2023,BPP,polls,19
2023,CPF,early,37
2023,CPF,mail,40
2023,CPF,polls,76
2023,CPP,early,28
2023,CPP,mail,23
2023,CPP,polls,30
2023,CSV,early,79
2023,CSV,mail,85
2023,CSV,polls,210
2023,DEM,early,77530
2023,DEM,mail,113144
2023,DEM,polls,107643
2023,ECO,early,10
2023,ECO,mail,11
2023,ECO,polls,14
2023,FFP,early,15
2023,FFP,mail,22
2023,FFP,polls,24
2023,GRE,early,69
2023,GRE,mail,93
2023,GRE,polls,135
2023,IND,early,1884
2023,IND,mail,3968
2023,IND,polls,3596
2023,LPF,early,262
2023,LPF,mail,328
2023,LPF,polls,728
2023,NPA,early,19724
2023,NPA,mail,44834
2023,NPA,polls,39612
2023,PSL,early,11
2023,PSL,mail,22
2023,PSL,polls,38
2023,REP,early,76622
2023,REP,mail,103750
2023,REP,polls,155977
2024,AMF,early,2521
2024,AMF,mail,912
2024,AMF,polls,2188
2024,ASP,early,1000
2024,ASP,mail,434
2024,ASP,polls,1076
2024,BPP,early,2130
2024,BPP,mail,686
2024,BPP,polls,2365
2024,CPF,early,4002
2024,CPF,mail,1317
2024,CPF,polls,3867
2024,CPP,early,1480
2024,CPP,mail,610
2024,CPP,polls,1305
2024,CSV,early,9924
2024,CSV,mail,3202
2024,CSV,polls,7774
2024,DEM,early,1683054
2024,DEM,mail,1836038
2024,DEM,polls,998481
2024,ECO,early,805
2024,ECO,mail,444
2024,ECO,polls,708
2024,FFP,early,381
2024,FFP,mail,303
2024,FFP,polls,287
2024,GRE,early,2423
2024,GRE,mail,1932
2024,GRE,polls,2300
2024,IND,early,114241
2024,IND,mail,85200
2024,IND,polls,70374
2024,JEF,early,25
2024,JEF,mail,21
2024,JEF,polls,18
2024,LPF,early,12438
2024,LPF,mail,6117
2024,LPF,polls,10468
2024,MGT,early,14
2024,MGT,polls,12
2024,NPA,early,1186503
2024,NPA,mail,865162
2024,NPA,polls,784601
2024,PSL,early,719
2024,PSL,mail,419
2024,PSL,polls,599
2024,REP,early,3147993
2024,REP,mail,2044491
2024,REP,polls,2053379
2025,AMF,early,54
2025,AMF,mail,41
2025,AMF,polls,82
2025,ASP,early,19
2025,ASP,mail,22
2025,ASP,polls,54
2025,BPP,mail,24
2025,BPP,polls,47
2025,CPF,early,73
2025,CPF,mail,47
2025,CPF,polls,206
2025,CPP,early,30
2025,CPP,mail,20
2025,CPP,polls,62
2025,CSV,early,149
2025,CSV,mail,167
2025,CSV,polls,438
2025,DEM,early,72254
2025,DEM,mail,155060
2025,DEM,polls,142284
2025,ECO,early,18
2025,ECO,mail,16
2025,ECO,polls,46
2025,FFP,mail,19
2025,FFP,polls,37
2025,GRE,early,81
2025,GRE,mail,117
2025,GRE,polls,209
2025,IND,early,2793
2025,IND,mail,5298
2025,IND,polls,6544
2025,LPF,early,322
2025,LPF,mail,315
2025,LPF,polls,895
2025,NPA,early,29192
2025,NPA,mail,55586
2025,NPA,polls,65707
2025,PSL,early,32
2025,PSL,mail,23
2025,PSL,polls,71
2025,REP,early,155806
2025,REP,mail,163629
2025,REP,polls,294644
2026,AMF,polls,20
2026,ASP,polls,18
2026,CPF,mail,12
2026,CPF,polls,28
2026,CPP,polls,13
2026,CSV,mail,31
2026,CSV,polls,70
2026,DEM,early,4003
2026,DEM,mail,34678
2026,DEM,polls,29798
2026,ECO,polls,10
2026,GRE,mail,20
2026,GRE,polls,33
2026,IND,early,116
2026,IND,mail,1233
2026,IND,polls,1430
2026,LPF,early,16
2026,LPF,mail,61
2026,LPF,polls,127
2026,NPA,early,1358
2026,NPA,mail,13342
2026,NPA,polls,14554
2026,REP,early,4421
2026,REP,mail,27062
2026,REP,polls,39889
